deliveryScheduling,deliveryFee,address,state,city,zip
1,3.99,7851 CATON FARM RD,IL,PLAINFIELD,60586
1,3.99,2091 ORCHARD RD,IL,MONTGOMERY,60538
1,3.99,442 W STATE RD,IL,ISLAND LAKE,60042
1,3.99,2100 SHERIDAN RD,IL,ZION,60099
1,3.99,399 S US HIGHWAY 45,IL,LINDENHURST,60046
1,3.99,3401 ORCHARD RD,IL,OSWEGO,60543
1,3.99,305 W ROLLINS RD,IL,ROUND LAKE BEACH,60073
1,3.99,100 N RANDALL RD,IL,LAKE IN THE HILLS,60156
1,3.99,315 N IL ROUTE 31,IL,CRYSTAL LAKE,60012
1,3.99,28895 W IL ROUTE 120,IL,LAKEMOOR,60051
1,3.99,376 N SUGAR GROVE PKWY,IL,SUGAR GROVE,60554
1,3.99,151 NORTHWEST HWY,IL,CRYSTAL LAKE,60014
1,3.99,4001 W ALGONQUIN RD,IL,ALGONQUIN,60102
1,3.99,305 E GRAND AVE,IL,LAKE VILLA,60046
1,3.99,1001 N MAIN ST,IL,ELBURN,60119
1,3.99,100 W VETERANS PKWY,IL,YORKVILLE,60560
1,3.99,61 S US HIGHWAY 12,IL,FOX LAKE,60020
1,3.99,12000 PRINCETON DR,IL,HUNTLEY,60142
1,3.99,9950 N IL ROUTE 47,IL,HUNTLEY,60142
1,3.99,3925 W ELM ST,IL,MCHENRY,60050
1,3.99,27155 W EAMES ST,IL,CHANNAHON,60410
1,3.99,1991 S BRIDGE ST,IL,YORKVILLE,60560
1,3.99,283 W IL ROUTE 173,IL,ANTIOCH,60002
1,5.99,3805 80TH ST,WI,KENOSHA,53142
1,5.99,7525 SHERIDAN RD,WI,KENOSHA,53143
1,5.99,7535 GREEN BAY RD,WI,KENOSHA,53142
1,3.99,7880 WINN RD,IL,SPRING GROVE,60081
